"","category","name","Runs","Sample","time.point","Fmate","Start","Stop","diff","time","name.1","total.counts","Man.beads","Man.picoEuks.syn","Man.syn.beads","Man.synpop1","Man.synpop2","Man.synpop3","Man.prochloro","Comp.synpop1","Comp.synpop2","Comp.synpop3","Comp.prochloro","picophyto","fullSyn","synPop1","synPop2","synPop3","prochl","bactAndPro","hetBact"
"43","siderastrea","KDHIII_37_16Feb18_001.fcs",1,"S2-april28",0,189,2.4623,2.2598,0.2025,"8min","KDHIII_37_16Feb18_001.fcs",105799,4644,4903,9148,1178,949,2116,16115,1122,938,2006,15373,1970.37037037037,22241.975308642,5817.28395061728,4686.41975308642,10449.3827160494,79580.2469135803,471525.423728814,391945.176815233
"44","siderastrea","KDHIII_37_16Feb18_002.fcs",1,"S2-april28",1,190,2.4545,2.2531,0.2014,"8min","KDHIII_37_16Feb18_002.fcs",114977,4627,5385,9692,1284,1021,2475,17123,1232,1010,2362,16147,1588.8778550149,25148.9572989076,6375.37239324727,5069.5134061569,12288.9771598808,85019.8609731877,521873.767258383,436853.906285195
"45","siderastrea","KDHIII_37_16Feb18_003.fcs",1,"S2-april28",2,187,2.5101,2.3057,0.2044,"8min","KDHIII_37_16Feb18_003.fcs",117714,4530,5760,9896,1533,1229,2605,17394,1456,1165,2446,15879,1927.59295499022,26252.446183953,7500,6012.72015655577,12744.6183953033,NA,591706.827309237,506608.979951116
"46","porites","KDHIII_37_16Feb18_004.fcs",1,"PA2-april28",0,194,2.429,2.233,0.196,"8min","KDHIII_37_16Feb18_004.fcs",108096,4743,5408,9643,1297,982,2426,16980,1214,965,2283,16195,2591.83673469388,25000,6617.34693877551,5010.20408163265,12377.5510204082,86632.6530612245,508929.219600726,422296.566539501
"47","porites","KDHIII_37_16Feb18_005.fcs",1,"PA2-april28",1,194,2.5034,2.2989,0.2045,"8min","KDHIII_37_16Feb18_005.fcs",115663,4328,5931,9954,1433,1030,2839,17943,1344,999,2732,16900,1491.44254278729,27511.0024449878,7007.33496332518,5036.67481662592,13882.6405867971,87740.8312958435,519084.249084249,431343.417788406
"48","porites","KDHIII_37_16Feb18_006.fcs",1,"PA2-april28",2,193,2.4393,2.2356,0.2037,"8min","KDHIII_37_16Feb18_006.fcs",108689,4613,6080,10549,1515,1065,2991,17107,1429,1025,2778,15542,706.921944035346,29140.8934707904,7437.40795287187,5228.27687776141,14683.3578792342,NA,599724.264705882,515742.919590517
"49","cont","KDHIII_37_16Feb18_007.fcs",2,"Cont3-april29",0,190,2.4724,2.2692,0.2032,"8min","KDHIII_37_16Feb18_007.fcs",77145,5096,5579,10212,1181,884,2643,11437,1111,884,2533,10436,2278.54330708661,25177.1653543307,5812.00787401575,4350.3937007874,13006.8897637795,NA,559500,NA
"50","cont","KDHIII_37_16Feb18_008.fcs",2,"Cont3-april29",1,190,2.4878,2.2851,0.2027,"8min","KDHIII_37_16Feb18_008.fcs",77950,4288,5688,9480,1148,850,2832,11261,1091,820,2724,10200,2446.96595954613,25614.2081894425,5663.54218056241,4193.38924518994,13971.3862851505,NA,551084.112149533,NA
"51","cont","KDHIII_37_16Feb18_009.fcs",2,"Cont3-april29",2,190,2.4319,2.2292,0.2027,"8min","KDHIII_37_16Feb18_009.fcs",77925,4045,5696,9091,1275,902,2481,10734,1189,896,2381,9365,3206.7094227923,24893.9319190923,6290.0838677849,4449.92599901332,12239.7631968426,NA,636517.690875233,NA
"52","madracis","KDHIII_37_16Feb18_010.fcs",2,"MM3-april29",0,190,2.4584,2.2555,0.2029,"8min","KDHIII_37_16Feb18_010.fcs",87101,4097,5981,9407,1302,929,2638,12555,1248,929,2545,11306,3307.04780680138,26170.527353376,6416.95416461311,4578.61015278462,13001.4785608674,NA,561756.007393715,NA
